respondent_id,age_group,gender,occupation,city_tier,monthly_income,income_range,education_level,fitness_goal,fitness_level,workout_frequency,workout_consistency,daily_steps,sleep_hours,sleep_quality,stress_level,diet_quality,water_intake,health_concern_level,medical_fitness_goal,uses_fitness_app,uses_wearable,past_smartwatch_owner,digital_adoption_level,trust_in_health_data,privacy_concern_level,app_notification_preference,pref_sleep_tracking,pref_stress_monitoring,pref_hydration_reminder,pref_heart_rate,pref_diet_suggestion,pref_workout_plan,pref_personalized_report,battery_life_importance,design_importance,brand_preference,monthly_health_spend,preferred_price_range,willingness_to_pay,payment_preference,discount_sensitivity,subscription_willingness,purchase_intention,likely_to_purchase,upgrade_intention,family_influence,social_media_influence,referrals_made,health_concern_score,fitness_readiness_score,lifestyle_risk_score,digital_adoption_score,price_sensitivity_score,purchase_potential_score,engagement_score,sleep_stress_risk_category,budget_segment,customer_value_segment,feedback_text
FT100308,18-24,Male,Student,Tier 3,15500.0,< 25K,Post Graduate,Stress Management,Beginner,0,Low,4600,5.7,Poor,High,Good,1.1,Medium,No,No,Yes,Yes,Medium,Medium,High,Minimal,Yes,Yes,Yes,No,No,No,Yes,Low,High,Budget / Value,1040.0,< 3K,2900,Full Payment,Low,Yes,2,No,No,Medium,Medium,2,78.4,14.8,69.9,52.3,52.2,27.6,39.4,High,Budget,Low Value,Sleep tracking data seems wrong and the design feels cheap.
FT100309,18-24,Female,Student,Tier 1,30500.0,25K-50K,Graduate,Weight Loss,Beginner,1,Low,5700,6.2,Poor,Medium,Average,2.6,High,No,Yes,Yes,Yes,High,High,Medium,Frequent,Yes,No,No,Yes,Yes,Yes,Yes,High,Medium,Premium / Trusted,1610.0,6K-10K,8600,Full Payment,Medium,No,5,Yes,Yes,Medium,High,2,67.5,22.7,70.0,87.9,76.5,84.3,85.2,High,Mid-Range,Medium Value,"I love the sleep tracking, it is accurate and easy to understand."
FT100310,25-34,Male,Self-Employed,Tier 2,92400.0,50K-1L,Post Graduate,Weight Loss,Advanced,5,High,8200,6.8,Good,Low,Good,2.9,Low,No,No,Yes,Yes,Medium,High,Low,Frequent,No,No,Yes,Yes,No,Yes,No,Medium,Medium,Premium / Trusted,2000.0,6K-10K,6300,Full Payment,High,Yes,2,No,No,Medium,Medium,2,16.7,74.8,15.5,55.9,89.0,28.3,50.4,Low,Mid-Range,Low Value,Customer support was slow and the device disconnects from the app often.
FT100311,25-34,Male,Working Professional,Tier 2,89500.0,50K-1L,Graduate,Stress Management,Beginner,1,Low,3200,6.1,Average,High,Average,1.6,Medium,No,No,Yes,No,Medium,High,High,Minimal,No,No,Yes,No,No,No,Yes,High,Medium,Budget / Value,1510.0,6K-10K,6000,Full Payment,Low,Yes,3,No,No,High,Low,1,63.6,20.5,71.4,52.6,54.8,39.3,31.0,High,Mid-Range,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100312,18-24,Male,Student,Tier 2,32400.0,25K-50K,Graduate,General Fitness,Beginner,2,Medium,5100,6.3,Poor,Medium,Average,2.5,High,Yes,Yes,Yes,Yes,Medium,Medium,High,Moderate,Yes,Yes,No,No,No,No,No,High,High,Budget / Value,1740.0,3K-6K,4000,Full Payment,Low,Yes,3,No,Yes,Medium,Medium,1,65.6,21.0,65.1,67.0,51.7,49.3,58.0,High,Budget,Medium Value,Step counting is accurate and syncing with the app is fast and seamless.
FT100313,25-34,Male,Student,Tier 2,21500.0,< 25K,Graduate,Muscle Gain,Beginner,3,Medium,7600,7.8,Good,Medium,Poor,2.2,Low,No,Yes,No,No,High,High,High,Minimal,No,No,Yes,Yes,No,Yes,Yes,High,Medium,No Preference,930.0,3K-6K,3800,Full Payment,Medium,Yes,3,No,No,Low,Medium,0,48.0,42.0,53.8,64.2,68.2,41.2,58.6,Low,Budget,Low Value,"The watch is okay, does the basic job of counting steps."
FT100314,25-34,Male,Working Professional,Tier 2,78300.0,50K-1L,Graduate,Stress Management,Beginner,3,Medium,4500,5.3,Poor,High,Poor,2.9,High,No,No,No,No,Medium,Medium,Medium,Moderate,Yes,Yes,Yes,No,Yes,No,Yes,High,Medium,Premium / Trusted,1540.0,6K-10K,7000,Full Payment,High,No,3,No,Yes,Low,Medium,1,83.8,30.7,78.1,33.5,84.7,49.2,44.2,High,Mid-Range,Medium Value,"Average experience overall, nothing special but works fine."
FT100315,25-34,Female,Working Professional,Tier 3,38500.0,25K-50K,Post Graduate,General Fitness,Beginner,3,Medium,4100,6.9,Average,Medium,Poor,3.0,Low,No,No,No,No,High,Medium,Medium,Moderate,No,No,No,No,Yes,No,Yes,Low,High,Premium / Trusted,2390.0,3K-6K,5200,Full Payment,High,No,2,No,No,Medium,High,1,60.6,37.4,64.6,37.5,86.3,33.3,32.7,Moderate,Mid-Range,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100316,25-34,Male,Working Professional,Tier 1,63400.0,50K-1L,High School,Weight Loss,Intermediate,1,Low,6800,4.9,Poor,High,Good,0.5,High,No,Yes,No,No,High,Medium,Low,Minimal,Yes,Yes,No,No,Yes,No,Yes,High,High,Premium / Trusted,2810.0,6K-10K,7100,Full Payment,High,No,3,No,No,Medium,High,0,79.9,30.4,73.6,64.5,90.7,48.1,58.7,High,Mid-Range,Medium Value,"It works as expected, neither impressed nor disappointed so far."
FT100317,35-44,Male,Self-Employed,Tier 2,44100.0,25K-50K,Graduate,General Fitness,Beginner,0,Low,1700,6.6,Average,High,Average,3.1,Low,No,No,No,No,High,Medium,Medium,Frequent,Yes,Yes,Yes,No,No,No,No,Medium,Medium,Premium / Trusted,1870.0,6K-10K,6300,Full Payment,Medium,Yes,3,No,No,High,High,4,68.0,19.6,67.1,40.0,73.3,43.8,44.9,High,Mid-Range,Low Value,The app keeps crashing and the notifications are unreliable.
FT100318,18-24,Male,Student,Tier 1,28800.0,25K-50K,Graduate,Better Sleep,Intermediate,3,Medium,6900,6.0,Poor,High,Good,2.5,Medium,No,Yes,No,No,High,High,Medium,Frequent,No,Yes,Yes,No,No,No,No,Medium,Medium,No Preference,890.0,6K-10K,6100,Full Payment,High,Yes,4,Yes,Yes,High,Medium,1,69.8,42.2,65.3,61.0,94.3,67.6,62.9,High,Mid-Range,Medium Value,Step counting is accurate and syncing with the app is fast and seamless.
FT100319,45-54,Male,Working Professional,Tier 2,166700.0,1L-2L,Post Graduate,General Fitness,Advanced,5,High,8100,6.4,Average,Medium,Average,1.9,Medium,Yes,No,No,No,Low,Medium,Medium,Frequent,Yes,Yes,Yes,Yes,No,No,No,High,High,No Preference,2980.0,3K-6K,5400,Full Payment,High,Yes,2,No,No,Medium,Medium,0,50.8,66.9,49.1,23.3,84.1,32.8,43.3,Moderate,Mid-Range,Low Value,"Design is decent, battery is average, app could improve a little."
FT100320,45-54,Male,Working Professional,Tier 2,69800.0,50K-1L,Graduate,Weight Loss,Beginner,1,Low,3800,6.4,Average,Medium,Poor,1.9,Medium,Yes,No,No,No,Low,High,Low,Minimal,Yes,Yes,Yes,Yes,Yes,Yes,No,High,Medium,Premium / Trusted,2880.0,6K-10K,6700,Full Payment,High,No,2,No,No,Medium,Low,1,63.8,28.4,64.6,14.7,86.7,24.0,34.9,Moderate,Mid-Range,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100321,25-34,Female,Working Professional,Tier 3,44700.0,25K-50K,Post Graduate,Medical / Recovery,Intermediate,2,Medium,7800,7.4,Average,Medium,Average,2.3,Low,Yes,Yes,No,No,Medium,Medium,High,Moderate,No,Yes,No,Yes,No,No,Yes,High,Medium,Budget / Value,1340.0,3K-6K,3800,Full Payment,Medium,Yes,5,Yes,No,Low,High,2,51.4,40.9,48.7,47.1,67.6,75.0,55.3,Moderate,Budget,Medium Value,"Affordable, lightweight and the companion app is very beginner friendly."
FT100322,25-34,Male,Working Professional,Tier 2,86500.0,50K-1L,Post Graduate,Stress Management,Beginner,1,Low,3900,5.8,Poor,High,Poor,1.9,High,No,Yes,No,No,High,High,Low,Frequent,Yes,Yes,No,Yes,Yes,Yes,Yes,High,Medium,Budget / Value,1580.0,3K-6K,5500,Full Payment,Low,No,5,Yes,No,Medium,High,2,96.1,21.8,87.4,60.0,46.1,75.0,79.7,High,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100323,25-34,Female,Working Professional,Tier 2,45000.0,25K-50K,Diploma,Muscle Gain,Beginner,2,Medium,4600,5.8,Poor,Medium,Good,1.6,Medium,Yes,No,No,No,Medium,Medium,Medium,Minimal,No,Yes,No,Yes,No,Yes,Yes,Medium,Medium,No Preference,340.0,3K-6K,3600,Full Payment,High,No,2,No,Yes,Medium,Medium,1,57.6,20.2,49.8,28.9,85.5,23.3,31.3,High,Budget,Low Value,The battery drains too quickly and charging takes very long.
FT100324,45-54,Female,Working Professional,Tier 1,86600.0,50K-1L,Post Graduate,Better Sleep,Intermediate,1,Low,3600,5.4,Poor,High,Poor,1.7,High,No,Yes,No,No,Medium,High,Medium,Moderate,Yes,Yes,Yes,Yes,No,No,No,Medium,Low,No Preference,5690.0,6K-10K,7100,Full Payment,Low,No,5,Yes,No,Medium,High,2,93.4,21.3,88.1,51.4,43.5,90.0,61.1,High,Mid-Range,Medium Value,Step counting is accurate and syncing with the app is fast and seamless.
FT100325,35-44,Male,Working Professional,Tier 1,186300.0,1L-2L,Post Graduate,General Fitness,Beginner,4,High,6500,7.0,Average,Medium,Poor,1.5,Low,No,No,No,Yes,High,High,Low,Minimal,Yes,No,No,No,Yes,Yes,No,High,Medium,Premium / Trusted,10990.0,6K-10K,9900,EMI,Medium,No,2,No,No,Medium,High,2,51.4,40.4,55.4,49.6,54.3,30.5,34.2,Moderate,Mid-Range,Low Value,I am worried about my health data privacy and how it is stored.
FT100326,35-44,Female,Self-Employed,Tier 1,84100.0,50K-1L,Diploma,Medical / Recovery,Advanced,5,High,7300,6.6,Poor,Medium,Average,3.4,Medium,Yes,No,Yes,Yes,Medium,Medium,Medium,Moderate,Yes,Yes,No,Yes,No,No,Yes,High,Medium,Budget / Value,1030.0,3K-6K,5500,Full Payment,Medium,Yes,2,No,Yes,Medium,Medium,1,56.7,60.6,55.0,50.5,67.7,32.2,45.8,High,Mid-Range,Low Value,Hard to set up for beginners and too many confusing notifications.
FT100327,25-34,Female,Working Professional,Tier 3,50000.0,50K-1L,Graduate,Better Sleep,Intermediate,5,High,7600,4.6,Poor,High,Good,2.3,High,Yes,No,Yes,No,Low,High,Low,Moderate,Yes,No,Yes,Yes,No,No,No,Medium,Medium,No Preference,1170.0,3K-6K,4900,Full Payment,High,No,3,Yes,No,High,Medium,1,58.0,54.5,55.3,40.3,85.5,52.6,38.0,High,Budget,Medium Value,"Affordable, lightweight and the companion app is very beginner friendly."
FT100328,25-34,Female,Working Professional,Tier 1,65400.0,50K-1L,Diploma,General Fitness,Beginner,1,Low,7100,6.5,Average,Medium,Average,4.1,Medium,No,No,Yes,No,Medium,High,Low,Frequent,Yes,Yes,No,No,No,No,Yes,Medium,Medium,Budget / Value,3190.0,3K-6K,5300,Full Payment,Medium,Yes,3,No,No,High,Medium,0,59.1,35.8,61.2,56.5,62.6,39.2,50.6,Moderate,Mid-Range,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100329,18-24,Female,Student,Tier 3,13600.0,< 25K,Graduate,General Fitness,Beginner,2,Medium,6500,4.8,Poor,High,Poor,2.6,High,No,No,No,No,Low,Low,High,Moderate,Yes,Yes,Yes,Yes,Yes,No,No,High,Medium,No Preference,660.0,3K-6K,3000,Full Payment,Low,Yes,3,No,No,Medium,Low,0,84.8,30.0,80.2,22.2,57.3,41.7,40.2,High,Budget,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100330,35-44,Female,Working Professional,Tier 1,83800.0,50K-1L,High School,General Fitness,Intermediate,3,Medium,5700,6.3,Average,High,Average,2.8,Medium,No,Yes,Yes,Yes,High,High,Medium,Frequent,No,Yes,No,No,No,No,No,Medium,Low,Premium / Trusted,2530.0,6K-10K,8100,EMI,Medium,No,5,Yes,Yes,High,High,2,63.9,44.4,59.6,86.5,62.3,76.7,67.6,High,Mid-Range,Medium Value,The personalized health reports keep me motivated to stay consistent.
FT100331,18-24,Female,Working Professional,Tier 2,69800.0,50K-1L,Graduate,Muscle Gain,Beginner,3,Medium,8100,5.8,Poor,Medium,Poor,1.5,High,No,No,No,No,High,Medium,Medium,Minimal,No,No,No,Yes,Yes,Yes,No,High,High,No Preference,1860.0,3K-6K,5600,Full Payment,Low,No,4,Yes,No,Medium,Medium,1,72.1,39.6,71.0,41.0,48.7,66.2,31.2,High,Mid-Range,Medium Value,"Design is decent, battery is average, app could improve a little."
FT100332,35-44,Female,Working Professional,Tier 2,29900.0,25K-50K,Graduate,Muscle Gain,Beginner,1,Low,1200,6.0,Poor,Medium,Average,2.1,Medium,Yes,Yes,No,No,Low,Medium,Low,Moderate,Yes,Yes,Yes,No,No,Yes,No,Medium,Low,Budget / Value,2010.0,< 3K,2700,Full Payment,Low,Yes,4,Yes,Yes,Medium,Medium,3,71.9,13.0,72.1,43.4,57.2,67.6,58.3,High,Budget,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100333,45-54,Male,Working Professional,Tier 2,118500.0,1L-2L,Graduate,General Fitness,Beginner,3,Medium,8800,6.0,Poor,Medium,Average,2.4,Low,No,No,No,No,Low,Medium,Medium,Frequent,No,Yes,No,Yes,No,Yes,No,High,Medium,Premium / Trusted,1530.0,6K-10K,7800,Full Payment,Low,No,2,No,No,Medium,Medium,1,59.3,40.3,59.8,20.5,45.9,32.8,38.0,High,Mid-Range,Low Value,Sleep tracking data seems wrong and the design feels cheap.
FT100334,18-24,Female,Working Professional,Tier 2,42300.0,25K-50K,High School,Medical / Recovery,Beginner,0,Low,5300,8.0,Good,Low,Poor,1.8,Low,Yes,Yes,No,No,Medium,High,Low,Moderate,No,No,Yes,Yes,No,Yes,No,Medium,High,No Preference,2150.0,< 3K,1700,Full Payment,Medium,Yes,3,No,No,High,Medium,1,42.1,29.7,52.8,49.1,72.8,39.2,56.0,Low,Budget,Low Value,"Reasonable device for the price, a few features could be better."
FT100335,25-34,Female,Self-Employed,Tier 2,62900.0,50K-1L,Graduate,General Fitness,Advanced,6,High,13600,6.4,Poor,Medium,Average,1.9,Medium,No,Yes,No,No,High,Medium,Low,Frequent,No,Yes,Yes,Yes,Yes,Yes,Yes,Medium,High,Budget / Value,1850.0,3K-6K,4700,Full Payment,Low,Yes,4,Yes,No,Medium,High,2,63.1,77.6,54.7,65.6,53.3,55.4,81.7,High,Budget,Medium Value,"The watch is okay, does the basic job of counting steps."
FT100336,18-24,Female,Working Professional,Tier 3,60200.0,50K-1L,Graduate,Stress Management,Beginner,2,Medium,7000,6.0,Poor,High,Poor,2.6,High,No,Yes,Yes,Yes,High,High,Medium,Moderate,Yes,Yes,Yes,No,Yes,No,No,Medium,Medium,No Preference,470.0,3K-6K,4900,Full Payment,Medium,Yes,4,Yes,No,High,High,4,81.8,37.3,81.1,92.4,69.4,59.8,75.5,High,Budget,Medium Value,"Reasonable device for the price, a few features could be better."
FT100337,35-44,Male,Working Professional,Tier 2,72700.0,50K-1L,Graduate,Muscle Gain,Beginner,0,Low,3800,7.8,Good,High,Poor,2.3,Medium,No,Yes,No,Yes,Low,Medium,Medium,Moderate,Yes,Yes,No,Yes,Yes,Yes,No,High,Medium,Budget / Value,3890.0,3K-6K,3700,Full Payment,Medium,No,3,No,No,Medium,Low,0,61.6,29.1,69.3,37.3,62.6,49.8,60.5,Moderate,Budget,Medium Value,"Affordable, lightweight and the companion app is very beginner friendly."
FT100338,18-24,Male,Student,Tier 1,28000.0,25K-50K,Diploma,General Fitness,Intermediate,6,High,11900,5.9,Poor,High,Average,1.2,High,No,Yes,Yes,No,High,High,Low,Frequent,Yes,Yes,Yes,No,No,No,Yes,High,High,Premium / Trusted,1870.0,6K-10K,7100,Full Payment,Medium,No,4,Yes,No,Low,High,1,73.2,68.2,63.3,92.5,81.9,55.8,82.5,High,Mid-Range,Medium Value,"Great value for money, the app is smooth and the design looks premium."
FT100339,45-54,Male,Self-Employed,Tier 1,45700.0,25K-50K,High School,Weight Loss,Intermediate,6,High,8500,7.4,Good,Medium,Poor,2.5,Low,Yes,No,No,No,Medium,Medium,Low,Moderate,No,Yes,No,Yes,Yes,No,No,Medium,Medium,Premium / Trusted,2350.0,6K-10K,6600,Full Payment,Low,No,3,No,Yes,Medium,Low,1,43.0,68.9,40.7,25.6,52.6,35.7,32.8,Low,Mid-Range,Low Value,"Too expensive for the features offered, the price could be lower."
FT100340,18-24,Male,Student,Tier 2,15300.0,< 25K,Graduate,Muscle Gain,Advanced,2,Medium,4500,5.3,Poor,High,Poor,2.7,High,No,Yes,No,No,High,High,High,Moderate,No,Yes,Yes,Yes,Yes,Yes,Yes,High,High,No Preference,710.0,3K-6K,5100,Full Payment,Low,No,3,No,No,Medium,Medium,2,82.5,39.6,86.6,70.7,56.2,39.4,76.5,High,Mid-Range,Low Value,"Reasonable device for the price, a few features could be better."
FT100341,55+,Male,Retired,Tier 2,50900.0,50K-1L,Post Graduate,Muscle Gain,Advanced,5,High,8400,7.3,Average,Medium,Average,1.8,Medium,No,No,No,No,Low,Medium,Low,Moderate,Yes,No,Yes,No,Yes,Yes,No,Medium,Medium,No Preference,2400.0,3K-6K,3300,Full Payment,Medium,No,2,No,No,Medium,Low,0,44.9,70.3,41.0,3.0,70.2,27.9,29.2,Moderate,Budget,Low Value,The battery drains too quickly and charging takes very long.
FT100342,35-44,Male,Self-Employed,Tier 2,65400.0,50K-1L,Diploma,Weight Loss,Beginner,2,Medium,7700,5.9,Average,Medium,Average,1.7,Low,No,No,No,No,Medium,High,Low,Frequent,No,No,Yes,Yes,No,No,Yes,High,Low,No Preference,1460.0,6K-10K,6300,Full Payment,Low,No,3,No,No,High,Low,1,54.5,39.4,55.2,32.6,41.8,34.8,42.3,Moderate,Mid-Range,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100343,25-34,Male,Working Professional,Tier 2,55000.0,50K-1L,Graduate,Stress Management,Beginner,2,Medium,3700,6.5,Poor,Medium,Good,2.7,Low,No,No,No,No,Medium,High,High,Moderate,Yes,Yes,Yes,No,No,No,No,High,Medium,Premium / Trusted,1230.0,6K-10K,7700,Full Payment,Medium,Yes,3,No,No,Low,High,4,56.0,22.3,59.2,32.7,65.6,42.6,35.3,High,Mid-Range,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100344,35-44,Male,Working Professional,Tier 1,47500.0,25K-50K,High School,General Fitness,Intermediate,5,High,6800,6.6,Average,Medium,Good,0.5,Low,No,Yes,No,No,High,High,Low,Moderate,Yes,Yes,No,No,No,No,No,Medium,Low,Premium / Trusted,2530.0,6K-10K,7400,Full Payment,Medium,No,2,No,No,Medium,Medium,1,44.4,51.6,34.9,59.8,76.4,23.8,55.5,Moderate,Mid-Range,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100345,35-44,Male,Working Professional,Tier 2,87800.0,50K-1L,Graduate,General Fitness,Beginner,3,Medium,6700,6.5,Average,Medium,Average,2.3,Medium,No,No,No,No,Medium,Medium,Medium,Minimal,No,No,Yes,No,No,No,Yes,High,Medium,Premium / Trusted,3490.0,6K-10K,8600,Full Payment,Medium,No,3,No,No,Medium,Low,0,52.0,39.7,53.4,31.5,57.7,43.4,23.6,Moderate,Mid-Range,Low Value,Hard to set up for beginners and too many confusing notifications.
FT100346,45-54,Female,Working Professional,Tier 2,45700.0,25K-50K,Diploma,Better Sleep,Intermediate,4,High,8700,5.1,Poor,High,Average,3.6,High,Yes,Yes,No,No,Medium,Medium,High,Frequent,Yes,Yes,No,No,No,No,No,Medium,Medium,No Preference,1570.0,3K-6K,5800,Full Payment,Medium,No,3,No,Yes,High,Medium,1,73.0,52.8,67.1,44.4,69.6,48.2,57.1,High,Mid-Range,Medium Value,"Design is decent, battery is average, app could improve a little."
FT100347,18-24,Male,Student,Tier 2,18800.0,< 25K,Graduate,General Fitness,Beginner,4,High,6100,5.3,Poor,High,Average,2.3,Medium,No,No,No,No,High,High,Medium,Moderate,Yes,Yes,No,Yes,No,No,Yes,High,High,No Preference,860.0,3K-6K,3800,Full Payment,High,No,3,No,No,Medium,High,1,72.7,33.9,67.1,38.4,93.4,37.6,41.6,High,Budget,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100348,25-34,Male,Student,Tier 2,18900.0,< 25K,Graduate,Muscle Gain,Advanced,6,High,10800,7.3,Good,Low,Good,3.0,Low,No,Yes,No,No,High,High,Medium,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,Medium,Medium,Budget / Value,450.0,< 3K,2300,Full Payment,Medium,No,3,No,No,Low,Medium,1,14.2,86.9,15.9,69.8,71.7,49.7,71.9,Low,Budget,Medium Value,"It works as expected, neither impressed nor disappointed so far."
FT100349,18-24,Male,Student,Tier 3,9100.0,< 25K,High School,Muscle Gain,Intermediate,3,Medium,8800,6.6,Average,Low,Average,2.7,Low,No,Yes,Yes,Yes,Medium,High,Medium,Minimal,No,Yes,Yes,Yes,Yes,No,No,High,Low,No Preference,500.0,3K-6K,3400,Full Payment,Low,Yes,4,Yes,Yes,Low,Medium,1,41.2,53.4,39.8,73.4,63.1,56.5,61.8,Low,Budget,Medium Value,"I love the sleep tracking, it is accurate and easy to understand."
FT100350,25-34,Male,Working Professional,Tier 2,34600.0,25K-50K,Diploma,Weight Loss,Intermediate,2,Medium,7400,5.1,Poor,High,Good,1.1,High,No,Yes,Yes,Yes,High,Medium,Low,Moderate,Yes,Yes,Yes,No,No,No,No,High,Medium,Budget / Value,840.0,3K-6K,4700,Full Payment,Low,Yes,4,Yes,Yes,Medium,High,4,68.8,43.3,66.9,83.8,45.9,56.1,68.2,High,Budget,Medium Value,"Design is decent, battery is average, app could improve a little."
FT100351,18-24,Male,Student,Tier 3,12900.0,< 25K,Graduate,General Fitness,Beginner,3,Medium,6900,6.5,Average,Medium,Average,2.7,Low,No,No,No,Yes,High,High,Low,Moderate,No,Yes,No,No,No,Yes,No,High,High,Budget / Value,200.0,< 3K,1300,Full Payment,High,Yes,3,No,Yes,Medium,High,1,53.7,41.0,46.6,40.7,90.1,41.6,33.8,Moderate,Budget,Low Value,"Too expensive for the features offered, the price could be lower."
FT100352,25-34,Female,Working Professional,Tier 1,96500.0,50K-1L,Graduate,Weight Loss,Advanced,4,High,7200,5.6,Poor,High,Average,3.1,Medium,No,Yes,No,No,High,High,High,Moderate,Yes,Yes,No,Yes,No,No,Yes,Low,Low,No Preference,1710.0,6K-10K,8500,EMI,High,Yes,4,Yes,No,High,Medium,0,69.8,47.6,59.0,68.7,84.9,63.1,67.2,High,Mid-Range,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100353,25-34,Female,Working Professional,Tier 2,82600.0,50K-1L,Post Graduate,Weight Loss,Intermediate,3,Medium,9400,7.0,Average,Low,Good,1.4,Low,No,Yes,No,No,Medium,Medium,Low,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,High,High,Premium / Trusted,4390.0,6K-10K,7500,Full Payment,Medium,Yes,2,No,No,Medium,Low,0,28.2,52.9,33.8,47.8,67.5,28.3,64.2,Low,Mid-Range,Low Value,I am worried about my health data privacy and how it is stored.
FT100354,25-34,Male,Homemaker,Tier 2,33900.0,25K-50K,Graduate,Muscle Gain,Intermediate,3,Medium,6300,6.9,Average,Medium,Poor,1.7,Low,No,Yes,Yes,Yes,High,High,High,Moderate,Yes,Yes,Yes,No,Yes,Yes,No,Medium,High,Premium / Trusted,830.0,3K-6K,5200,Full Payment,High,Yes,4,Yes,No,Medium,Low,2,61.1,44.8,59.9,82.4,91.1,54.5,76.3,Moderate,Mid-Range,Medium Value,"Average experience overall, nothing special but works fine."
FT100355,25-34,Female,Working Professional,Tier 2,123800.0,1L-2L,Post Graduate,Weight Loss,Intermediate,4,High,9100,6.5,Poor,Medium,Good,2.3,Medium,Yes,Yes,No,No,High,High,Medium,Minimal,Yes,Yes,No,No,Yes,No,Yes,Medium,High,Budget / Value,7440.0,6K-10K,6100,Full Payment,Medium,Yes,4,Yes,No,Medium,Medium,1,45.4,49.1,47.5,60.7,62.4,63.9,57.4,High,Mid-Range,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100356,35-44,Male,Working Professional,Tier 1,133000.0,1L-2L,Graduate,Medical / Recovery,Beginner,1,Low,7600,5.4,Poor,High,Average,3.1,High,Yes,No,No,No,Medium,Medium,Medium,Frequent,Yes,No,No,Yes,No,Yes,Yes,Medium,Medium,Budget / Value,1280.0,6K-10K,7100,Full Payment,Low,Yes,3,No,Yes,Low,Medium,0,81.6,29.7,76.8,24.7,38.5,47.6,43.8,High,Mid-Range,Medium Value,"The watch is okay, does the basic job of counting steps."
FT100357,35-44,Male,Homemaker,Tier 2,20000.0,< 25K,High School,General Fitness,Beginner,0,Low,4500,6.7,Average,Low,Average,1.9,Medium,No,Yes,No,No,Medium,Medium,Medium,Moderate,Yes,No,Yes,Yes,Yes,Yes,No,Medium,Medium,Premium / Trusted,180.0,3K-6K,5800,Full Payment,High,Yes,3,No,No,Medium,Medium,1,51.1,20.0,50.4,47.8,90.9,42.5,64.2,Low,Mid-Range,Low Value,"Reasonable device for the price, a few features could be better."
FT100358,25-34,Male,Working Professional,Tier 1,69500.0,50K-1L,Diploma,General Fitness,Beginner,3,Medium,4500,7.5,Good,Low,Average,2.3,Low,Yes,Yes,No,No,High,High,Medium,Minimal,No,Yes,Yes,Yes,No,Yes,No,High,Medium,Budget / Value,3400.0,3K-6K,5500,Full Payment,Medium,Yes,3,No,No,Low,High,2,33.5,36.5,34.8,80.0,63.2,40.5,64.1,Low,Mid-Range,Low Value,Customer support was slow and the device disconnects from the app often.
FT100359,25-34,Male,Homemaker,Tier 3,15400.0,< 25K,Graduate,Better Sleep,Intermediate,3,Medium,4100,6.1,Poor,Medium,Poor,1.8,Medium,No,Yes,No,No,Medium,High,Medium,Moderate,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Medium,Medium,Premium / Trusted,490.0,3K-6K,3800,Full Payment,Medium,No,3,No,No,Medium,Medium,1,71.9,33.8,70.7,48.0,75.1,42.4,72.8,High,Budget,Low Value,"Design is decent, battery is average, app could improve a little."
FT100360,45-54,Female,Working Professional,Tier 1,72500.0,50K-1L,Diploma,General Fitness,Intermediate,6,High,9100,5.6,Poor,High,Average,2.3,Medium,Yes,No,No,No,Medium,Medium,Medium,Frequent,Yes,Yes,No,Yes,No,Yes,Yes,High,Low,Premium / Trusted,3570.0,6K-10K,8500,EMI,High,No,3,No,Yes,High,Medium,2,68.5,62.7,61.0,25.0,79.5,36.2,48.2,High,Mid-Range,Low Value,"The watch is okay, does the basic job of counting steps."
FT100361,18-24,Female,Student,Tier 1,41000.0,25K-50K,Post Graduate,Muscle Gain,Beginner,2,Medium,6500,4.8,Poor,High,Average,3.1,Medium,No,Yes,Yes,Yes,High,High,High,Frequent,Yes,Yes,No,No,No,Yes,No,High,Medium,Premium / Trusted,1790.0,6K-10K,9700,EMI,Medium,Yes,5,Yes,Yes,High,High,0,75.4,29.2,75.1,87.4,65.2,76.2,76.4,High,Mid-Range,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100362,18-24,Female,Self-Employed,Tier 2,70900.0,50K-1L,Graduate,Stress Management,Advanced,7,High,11500,6.2,Poor,Medium,Average,2.4,Medium,No,No,No,No,Medium,Medium,High,Frequent,No,No,Yes,Yes,No,No,Yes,Low,High,Budget / Value,3330.0,3K-6K,3800,Full Payment,Medium,Yes,3,No,Yes,Medium,Low,0,61.3,74.3,49.2,35.4,70.8,37.1,43.2,High,Budget,Low Value,Customer support was slow and the device disconnects from the app often.
